timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1606143854.372,415.039,-0.977,-4.883,-900.391,0.000,0
1606143854.376,113.770,-20.508,-27.832,449.219,0.000,0
1606143854.379,-370.117,-43.945,-47.363,-786.621,0.000,0
1606143854.383,-416.992,-44.434,-43.457,-990.723,0.000,0
1606143854.387,66.895,-23.438,-22.461,110.352,0.000,0
1606143854.391,416.504,-3.906,-4.395,-913.574,0.000,0
1606143854.395,189.453,-31.738,-12.695,577.637,0.000,0
1606143854.399,-313.477,-57.129,-44.434,-646.484,0.000,0
1606143854.403,-430.664,-36.133,-53.223,-1000.000,0.000,0
1606143854.407,20.508,-24.414,-21.484,-22.949,0.000,0
1606143854.411,414.551,-9.766,2.441,-947.754,0.000,0
1606143854.415,246.582,-25.879,-13.184,698.242,0.000,0
1606143854.419,-273.438,-48.828,-41.016,-481.934,0.000,0
1606143854.422,-462.891,-46.387,-50.293,-1000.000,0.000,0
1606143854.426,-61.035,-28.809,-30.762,-177.246,0.000,0
1606143854.430,371.094,-8.301,-7.324,987.305,0.000,0
1606143854.434,280.762,-23.438,-15.625,782.715,0.000,0
1606143854.438,-229.492,-78.125,-38.574,-372.559,0.000,0
1606143854.442,-471.191,-70.801,-49.805,-1000.000,0.000,0
1606143854.446,-126.465,-22.461,-31.250,-353.516,0.000,0
1606143854.450,337.891,-4.883,-6.836,877.441,0.000,0
1606143854.454,323.242,-14.160,-6.348,877.441,0.000,0
1606143854.458,-177.246,-38.086,-25.879,-259.277,0.000,0
1606143854.462,-473.145,-46.387,-41.016,-1000.000,0.000,0
1606143854.465,-186.523,-32.715,-32.715,-502.930,0.000,0
1606143854.469,301.758,-1.465,-7.812,740.723,0.000,0
1606143854.473,362.793,-5.371,0.000,961.426,0.000,0
1606143854.477,-120.605,-43.457,-20.508,-140.625,0.000,0
1606143854.481,-472.656,-44.922,-42.969,-1000.000,0.000,0
1606143854.485,-245.117,-29.297,-38.086,-631.348,0.000,0
1606143854.489,258.301,-16.602,-13.672,587.891,0.000,0
1606143854.493,381.836,-10.254,-10.742,-963.867,0.000,0
1606143854.497,-64.453,-30.762,-33.691,1.953,0.000,0
1606143854.501,-460.938,-47.363,-53.223,-1000.000,0.000,0
1606143854.504,-305.664,-42.969,-46.875,-742.188,0.000,0
1606143854.508,208.984,-21.484,-16.602,432.617,0.000,0
1606143854.512,410.645,4.395,5.859,-919.434,0.000,0
1606143854.516,11.230,-44.434,-14.160,173.828,0.000,0
1606143854.520,-430.664,-83.008,-38.086,-1000.000,0.000,0
1606143854.524,-340.820,-40.039,-28.809,-828.613,0.000,0
1606143854.528,176.758,-9.277,-1.465,328.613,0.000,0
1606143854.532,418.457,-1.465,1.465,-902.344,0.000,0
1606143854.536,66.406,-21.973,-25.391,320.801,0.000,0
1606143854.540,-400.879,-50.781,-47.363,-902.344,0.000,0
1606143854.544,-393.555,-49.316,-47.852,-922.852,0.000,0
1606143854.547,107.422,-25.879,-19.531,207.031,0.000,0
1606143854.551,414.551,-10.742,-12.207,-899.902,0.000,0
1606143854.555,141.113,-12.695,-28.809,481.445,0.000,0
1606143854.559,-339.844,-26.367,-45.898,-760.254,0.000,0
1606143854.563,-406.250,-34.668,-35.156,-1000.000,0.000,0
1606143854.567,68.848,-16.602,-6.836,96.680,0.000,0
1606143854.571,418.945,4.883,0.488,-917.969,0.000,0
1606143854.575,191.895,-27.344,-14.648,597.656,0.000,0
1606143854.579,-312.500,-58.594,-33.691,-614.258,0.000,0
1606143854.583,-446.777,-44.922,-36.133,-1000.000,0.000,0
1606143854.587,-10.254,-27.344,-23.926,-71.289,0.000,0
1606143854.590,391.113,-6.348,-15.137,-958.496,0.000,0
1606143854.594,243.164,-14.648,-20.020,702.637,0.000,0
1606143854.598,-266.113,-42.480,-37.109,-478.027,0.000,0
1606143854.602,-456.055,-52.246,-51.270,-1000.000,0.000,0
1606143854.606,-48.828,-24.902,-33.203,-221.191,0.000,0
1606143854.610,388.672,6.836,5.859,967.285,0.000,0
1606143854.614,299.805,-8.789,0.488,798.828,0.000,0
1606143854.618,-215.820,-60.547,-42.480,-358.398,0.000,0
1606143854.622,-471.191,-57.129,-48.828,-1000.000,0.000,0
1606143854.626,-133.789,-23.438,-22.949,-380.371,0.000,0
1606143854.629,334.961,-3.418,0.977,855.469,0.000,0
1606143854.633,336.914,-2.930,-0.488,890.625,0.000,0
1606143854.637,-165.039,-26.367,-36.621,-245.605,0.000,0
1606143854.641,-473.145,-41.504,-50.293,-1000.000,0.000,0
1606143854.645,-186.523,-32.715,-26.367,-528.320,0.000,0
1606143854.649,302.246,-15.137,-10.254,711.426,0.000,0
1606143854.653,370.117,-15.625,-11.230,974.609,0.000,0
1606143854.657,-105.469,-40.039,-30.273,-121.094,0.000,0
1606143854.661,-470.215,-50.781,-45.898,-1000.000,0.000,0
1606143854.665,-261.719,-44.434,-40.039,-662.598,0.000,0
1606143854.669,246.094,-24.414,-13.672,548.340,0.000,0
1606143854.672,389.160,-9.277,-7.324,-960.449,0.000,0
1606143854.676,-48.340,-45.898,-32.715,13.672,0.000,0
1606143854.680,-456.055,-61.035,-52.246,-1000.000,0.000,0
1606143854.684,-312.988,-33.203,-51.270,-760.254,0.000,0
1606143854.688,202.637,-12.207,-16.602,414.062,0.000,0
1606143854.692,403.809,-1.465,3.418,-921.387,0.000,0
1606143854.696,13.184,-29.785,-21.973,175.781,0.000,0
1606143854.700,-428.711,-46.387,-48.340,-995.117,0.000,0
1606143854.704,-363.281,-37.598,-43.457,-848.633,0.000,0
1606143854.708,145.508,-22.949,-17.578,299.316,0.000,0
1606143854.712,403.320,-4.883,-4.883,-901.855,0.000,0
1606143854.715,67.383,-39.062,-21.484,345.215,0.000,0
1606143854.719,-401.367,-76.660,-48.828,-878.906,0.000,0
1606143854.723,-404.785,-49.805,-46.387,-938.965,0.000,0
1606143854.727,92.773,-21.973,-15.137,184.570,0.000,0
1606143854.731,407.227,-0.488,-0.488,-901.855,0.000,0
1606143854.735,135.742,-5.859,-6.836,502.441,0.000,0
1606143854.739,-357.422,-34.668,-28.809,-736.328,0.000,0
1606143854.743,-437.988,-39.551,-40.527,-1000.000,0.000,0
1606143854.747,30.762,-17.578,-17.578,63.477,0.000,0
1606143854.751,391.602,3.418,0.977,-923.828,0.000,0
1606143854.754,184.570,-18.066,-16.113,614.258,0.000,0
1606143854.758,-320.312,-53.711,-48.828,-593.750,0.000,0
1606143854.762,-460.449,-38.574,-55.176,-1000.000,0.000,0
1606143854.766,-26.855,-14.648,-30.762,-87.891,0.000,0
1606143854.770,376.953,2.441,-15.625,-967.773,0.000,0
1606143854.774,233.887,-8.301,-25.391,719.238,0.000,0
1606143854.778,-280.762,-41.992,-44.434,-454.102,0.000,0
1606143854.782,-481.445,-46.387,-51.758,-1000.000,0.000,0
1606143854.786,-100.098,-30.762,-27.832,-259.766,0.000,0
1606143854.790,347.656,-10.254,0.488,942.383,0.000,0
1606143854.794,293.945,-11.719,-8.301,817.383,0.000,0
1606143854.797,-225.098,-69.336,-50.781,-337.402,0.000,0
1606143854.801,-484.375,-73.242,-60.547,-1000.000,0.000,0
1606143854.805,-136.230,-30.762,-37.598,-409.668,0.000,0
1606143854.809,327.637,-0.488,-20.996,829.102,0.000,0
1606143854.813,319.336,1.953,-16.602,897.949,0.000,0
1606143854.817,-179.199,-30.273,-39.551,-236.328,0.000,0
1606143854.821,-492.188,-31.738,-62.012,-1000.000,0.000,0
1606143854.825,-219.727,-18.555,-47.852,-569.824,0.000,0
1606143854.829,270.508,-5.371,-16.113,672.363,0.000,0
1606143854.833,353.027,0.977,-6.836,983.398,0.000,0
1606143854.837,-105.957,-23.438,-37.109,-106.934,0.000,0
1606143854.840,-461.426,-47.363,-57.617,-1000.000,0.000,0
1606143854.844,-251.465,-40.527,-46.875,-668.945,0.000,0
1606143854.848,253.418,-15.625,-20.020,537.109,0.000,0
1606143854.852,400.879,-3.906,-14.648,-950.684,0.000,0
1606143854.856,-31.738,-51.270,-44.922,43.945,0.000,0
1606143854.860,-440.430,-73.242,-63.965,-1000.000,0.000,0
1606143854.864,-298.340,-41.016,-48.340,-770.996,0.000,0
1606143854.868,204.590,-20.020,-18.066,394.531,0.000,0
1606143854.872,415.039,0.977,-5.371,-915.039,0.000,0
1606143854.876,36.133,-17.090,-27.344,208.984,0.000,0
1606143854.879,-413.086,-47.363,-56.152,-980.957,0.000,0
1606143854.883,-345.215,-36.621,-48.340,-856.934,0.000,0
1606143854.887,163.086,-15.625,-18.555,287.598,0.000,0
1606143854.891,426.270,0.000,-3.906,-897.949,0.000,0
1606143854.895,104.004,-50.293,-32.715,381.836,0.000,0
1606143854.899,-373.047,-108.887,-56.641,-855.469,0.000,0
1606143854.903,-390.625,-56.152,-48.828,-951.172,0.000,0
1606143854.907,109.863,-8.301,-16.602,170.898,0.000,0
1606143854.911,429.688,2.441,2.441,-905.273,0.000,0
1606143854.915,160.156,-9.277,-22.949,520.020,0.000,0
1606143854.919,-335.449,-38.574,-45.410,-712.891,0.000,0
1606143854.922,-418.945,-37.109,-41.992,-1000.000,0.000,0
1606143854.926,40.039,-10.742,-32.715,37.109,0.000,0
1606143854.930,416.016,-4.395,-18.066,-913.086,0.000,0
1606143854.934,190.918,-22.949,-28.320,588.379,0.000,0
1606143854.938,-329.590,-44.922,-62.988,-646.484,0.000,0
1606143854.942,-440.430,-56.641,-62.988,-1000.000,0.000,0
1606143854.946,-19.531,-40.039,-31.738,-119.141,0.000,0
1606143854.950,394.531,-9.766,-6.836,-982.910,0.000,0
1606143854.954,274.414,-14.160,-15.137,739.746,0.000,0
1606143854.958,-233.398,-43.945,-29.785,-428.223,0.000,0
1606143854.962,-449.707,-43.457,-39.062,-1000.000,0.000,0
1606143854.965,-88.867,-25.879,-35.645,-287.109,0.000,0
1606143854.969,363.281,-13.672,-15.625,957.031,0.000,0
1606143854.973,267.578,-20.508,-17.578,755.859,0.000,0
1606143854.977,-263.184,-41.992,-48.340,-445.801,0.000,0
